0;1669
1;103
2;10
3;419
4;78
5;626
6;122
7;64
8;88
9;31
10;75
11;14
12;1
13;37
14;26
15;8
16;31
17;346
18;1
19;217
20;41
21;46
22;67
23;62
24;1
25;58
26;30
27;216
28;7
29;35
30;36
31;24
32;25
33;1
34;39
35;12
36;32
37;66
38;13
39;25
40;28
41;26
42;9
43;4
44;22
45;38
46;17
47;18
48;14
49;11
50;1
51;27
52;7
53;12
54;6
55;8
56;15
57;2
58;12
59;10
60;6
61;4
62;5
63;1
64;5
65;3
66;7
67;9
68;9
69;12
70;5
71;3
72;2
73;5
74;1
75;1
76;4
77;2
78;1
79;4
80;2
81;7
82;1
83;2
84;1
85;2
86;1
87;1
88;1
89;1
90;1
91;1
92;1
93;1
94;1
95;1
96;1
97;1
98;1
99;1
100;1
